POSCAR_H_fcc_1,-.41398983E+03
POSCAR_H_fcc_2,-.41427596E+03
POSCAR_H_fcc_3,-.41503284E+03
POSCAR_H_fcc_4,-.41456809E+03
POSCAR_H_fcc_5,-.41530116E+03
POSCAR_H_fcc_6,-.41533403E+03
POSCAR_H_fcc_7,-.41552557E+03
POSCAR_H_fcc_8,-.41553185E+03
POSCAR_H_fcc_9,-.41566423E+03
POSCAR_H_fcc_10,-.41566884E+03
POSCAR_H_fcc_11,-.41571997E+03
POSCAR_H_fcc_12,-.41572225E+03
POSCAR_H_fcc_13,-.41574039E+03
POSCAR_H_fcc_14,-.41574416E+03
POSCAR_H_fcc_15,-.41575399E+03
POSCAR_H_fcc_16,-.41575491E+03
POSCAR_H_fcc_17,-.41575959E+03
POSCAR_H_fcc_18,-.41575959E+03
POSCAR_H_fcc_19,-.41576142E+03
POSCAR_H_fcc_20,-.41576163E+03
POSCAR_H_fcc_21,-.41576245E+03
POSCAR_H_fcc_22,-.41576248E+03
POSCAR_H_fcc_23,-.41576307E+03
POSCAR_H_fcc_24,-.41576311E+03
POSCAR_H_fcc_25,-.41576339E+03
POSCAR_H_fcc_26,-.41576340E+03
POSCAR_H_fcc_27,-.41576352E+03
POSCAR_H_fcc_28,-.41576352E+03
POSCAR_H_fcc_29,-.41576357E+03
POSCAR_H_fcc_30,-.41576357E+03
POSCAR_H_fcc_31,-.41576360E+03
POSCAR_H_fcc_32,-.41576360E+03
