POSCAR_CO_fcc_1,-.42665282E+03
POSCAR_CO_fcc_2,-.42667580E+03
POSCAR_CO_fcc_3,-.42668367E+03
POSCAR_CO_fcc_4,-.42668186E+03
POSCAR_CO_fcc_5,-.42668556E+03
POSCAR_CO_fcc_6,-.42668750E+03
POSCAR_CO_fcc_7,-.42669324E+03
POSCAR_CO_fcc_8,-.42670468E+03
POSCAR_CO_fcc_9,-.42672734E+03
POSCAR_CO_fcc_10,-.42677271E+03
POSCAR_CO_fcc_11,-.42686899E+03
POSCAR_CO_fcc_12,-.42709490E+03
POSCAR_CO_fcc_13,-.42736394E+03
POSCAR_CO_fcc_14,-.42736279E+03
POSCAR_CO_fcc_15,-.42738081E+03
POSCAR_CO_fcc_16,-.42741652E+03
POSCAR_CO_fcc_17,-.42741733E+03
POSCAR_CO_fcc_18,-.42748031E+03
POSCAR_CO_fcc_19,-.42764353E+03
POSCAR_CO_fcc_20,-.42786046E+03
POSCAR_CO_fcc_21,-.42789033E+03
POSCAR_CO_fcc_22,-.42794026E+03
POSCAR_CO_fcc_23,-.42801271E+03
POSCAR_CO_fcc_24,-.42813660E+03
POSCAR_CO_fcc_25,-.42814250E+03
POSCAR_CO_fcc_26,-.42814270E+03
POSCAR_CO_fcc_27,-.42815749E+03
POSCAR_CO_fcc_28,-.42819923E+03
POSCAR_CO_fcc_29,-.42827166E+03
POSCAR_CO_fcc_30,-.42837132E+03
POSCAR_CO_fcc_31,-.42838096E+03
POSCAR_CO_fcc_32,-.42840901E+03
POSCAR_CO_fcc_33,-.42844916E+03
POSCAR_CO_fcc_34,-.42844926E+03
POSCAR_CO_fcc_35,-.42846617E+03
POSCAR_CO_fcc_36,-.42850788E+03
POSCAR_CO_fcc_37,-.42855113E+03
POSCAR_CO_fcc_38,-.42855347E+03
POSCAR_CO_fcc_39,-.42855908E+03
POSCAR_CO_fcc_40,-.42857418E+03
POSCAR_CO_fcc_41,-.42859645E+03
POSCAR_CO_fcc_42,-.42860906E+03
POSCAR_CO_fcc_43,-.42861096E+03
POSCAR_CO_fcc_44,-.42861355E+03
POSCAR_CO_fcc_45,-.42862274E+03
POSCAR_CO_fcc_46,-.42863064E+03
POSCAR_CO_fcc_47,-.42863252E+03
POSCAR_CO_fcc_48,-.42863417E+03
POSCAR_CO_fcc_49,-.42863835E+03
POSCAR_CO_fcc_50,-.42863927E+03
POSCAR_CO_fcc_51,-.42864119E+03
POSCAR_CO_fcc_52,-.42864582E+03
POSCAR_CO_fcc_53,-.42864944E+03
POSCAR_CO_fcc_54,-.42865112E+03
POSCAR_CO_fcc_55,-.42865130E+03
POSCAR_CO_fcc_56,-.42865221E+03
POSCAR_CO_fcc_57,-.42865456E+03
POSCAR_CO_fcc_58,-.42865706E+03
POSCAR_CO_fcc_59,-.42865725E+03
POSCAR_CO_fcc_60,-.42865779E+03
POSCAR_CO_fcc_61,-.42865786E+03
POSCAR_CO_fcc_62,-.42865880E+03
POSCAR_CO_fcc_63,-.42866045E+03
POSCAR_CO_fcc_64,-.42866062E+03
POSCAR_CO_fcc_65,-.42866105E+03
POSCAR_CO_fcc_66,-.42866103E+03
POSCAR_CO_fcc_67,-.42866149E+03
POSCAR_CO_fcc_68,-.42866241E+03
POSCAR_CO_fcc_69,-.42866255E+03
POSCAR_CO_fcc_70,-.42866296E+03
POSCAR_CO_fcc_71,-.42866362E+03
POSCAR_CO_fcc_72,-.42866364E+03
POSCAR_CO_fcc_73,-.42866379E+03
POSCAR_CO_fcc_74,-.42866384E+03
POSCAR_CO_fcc_75,-.42866377E+03
POSCAR_CO_fcc_76,-.42866387E+03
POSCAR_CO_fcc_77,-.42866395E+03
POSCAR_CO_fcc_78,-.42866412E+03
POSCAR_CO_fcc_79,-.42866414E+03
POSCAR_CO_fcc_80,-.42866414E+03
POSCAR_CO_fcc_81,-.42866415E+03
